name,shortname,prop.id,yes_votes,no_votes,total_votes,voting_startdate,voting_enddate,eligible_tickets,cost,duration,domain,arrears,state,contractor,internal,fixed_pro_rata,renewal,voter_participation,approval,comments
Decred Content and Asset Translation Proposal,Translations 1,c093b8a808ef68665709995a5a741bd02502b9c6c48a99a4b179fef742ca6b2a,8573,2924,11497,2020-10-28 00:00:01,2020-11-04 00:00:01,41145,33000,6,Misc,FALSE,Approved,Contractor,Internal,pro rata,0,0.279426418762912,74.5672784204575,22
Decred Arabia Communications and Content Creation,Arabia Comms,d0c32d53670711ed4ac928dfd4ee2c4c8e046db79dd270ab27cc95d8bf0d4f0b,21840,870,22710,2021-02-03 00:00:01,2021-02-10 00:00:01,41330,6200,6,Marketing,FALSE,Approved,Contractor,Internal,pro rata,0,0.549479796757803,96.1690885072655,34
Decred DEX Development Phase II,DCRDEX 2,d462ac3de7ed3706c185262ed15a2ecf454c7e0d76eeaf13231ad5d393ef4e9a,22144,394,22538,2021-01-20 00:00:01,2021-01-27 00:00:01,41660,245000,9,Software Dev,FALSE,Approved,Contractor,Internal,pro rata,1,0.540998559769563,98.2518413346348,32
Moderation 2021,Moderation 2,e1cda440a0cae8439658f90ee24741d34c6bb61b0c3f19572e0131c2c9737b6c,13966,987,14953,2021-03-24 00:00:01,2021-03-24 00:00:01,42315,16500,11,Misc,FALSE,Approved,Contractor,Internal,pro rata,1,0.353373508212218,93.3993178626363,3
GoDCR: GoLang Native Desktop Wallet,GoDCR,e5c8051d7426a754b3642aa2895839666a360abbdee3c1c1edd56ba152702875,14207,1214,15421,2020-11-18 00:00:01,2020-11-25 00:00:01,40805,60000,8,Software Dev,PARTIAL,Approved,Contractor,Internal,pro rata,0,0.377919372625904,92.1276181829972,18
"""Money Evolved"" tagline - plus ""Fair"" box and page added to the site",RFP1: Money Evolved + Fair,f0a00d5f7598251820e8ab5bdc184adba980e404216124da91538625ac7c4e0a,486,6389,6875,2020-10-15 00:00:01,2020-10-22 00:00:01,40765,3800,1,RFP,PARTIAL,Rejected,Contractor,Internal,pro rata,0,0.16864957684288,7.06909090909091,25
GoDCR (2021 - 2022),GoDCR 2,f7d9fc852e309b31,14741,15234,29975,2021-10-07 00:00:01,2021-10-14 00:00:01,40920,200000,12,Software Dev,PARTIAL,Rejected,Contractor,Internal,pro rata,1,0.73252688172043,49.1776480400334,31
Educational Video series for Decred in the Indian Market,Finstreet21,150cf811432b0b7d,14138,17202,31340,2021-09-07 00:00:01,2021-09-14 00:00:01,40850,9800,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.767197062423501,45.111678366305,9
Dubai Crypto Conference Participation,Dubai Conference,51c412822e5e4b59,9586,15948,25534,2021-08-23 00:00:01,2021-08-30 00:00:01,37955,,1,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.672744038993545,37.5421007284405,20
Daylight Robbery - Dominic Frisby Documentary Proposal,Daylight Robbery,ae609f183a031c34,3332,23251,26583,2021-08-04 00:00:01,2021-08-11 00:00:01,39620,295000,12,Marketing,FALSE,Rejected,Not a Contractor,External,fixed cost,0,0.670949015648662,12.5343264492345,112
